cup_name,financial_name,city
Chippenham Town,,Chippenham
Kingstonian,,London
Hayes & Yeading United,,Hayes
Darlington 1883,,Darlington
Chichester City,,Chichester
Cray Valley PM,,Eltham, London
Tonbridge Angels,,Tonbridge
South Shields,,South Shields
Skelmersdale United,,Skelmersdale
Marine,,Crosby, Liverpool
Banbury United,,Banbury
Canvey Island,,Canvey Island
King's Lynn Town,,King's Lynn
Horsham,,Horsham
AFC Sudbury,,Sudbury
Bowers & Pitsea,,Pitsea
Stratford Town,,Stratford-upon-Avon
Buxton,,Buxton
Farnborough,,Farnborough
Merthyr Town,,Merthyr Tydfil
Coalville Town,,Coalville
Needham Market,,Needham Market
Alvechurch,,Alvechurch
Bracknell Town,,Bracknell
Weymouth,,Weymouth
